Account	learn	biden	global	week	read	find	inflation	years	than	win	vote	fifaworldcup	america	these	why	every	full	women	game	american	americans	energy	great	should	them	climate	join	president	live	tickets	must	business	some	change	family	report	act	families	action	season	country	future	latest	cup	across	city	thank	community	democrats	proud	way	know	two	her	which	continue	leaders	companies	many	look	working	right	financial	its	united	most	let	communities	congress	may	house	market	down	digital	those	economy	best	believe	keep	health	would	service	only	big	while	want	goal	because	protect	investment	before	bank	together	growth	being	made	businesses	don	match	state	second	training	nation	china	much	industry	investors	part	round	where	tonight	three	december	ahead	head	end	well	chance	crisis	election	christmas	other	key	plan	states	available	law	everyone	start	check	esg	birthday	third	share	fight	prices	saturday	had	free	were	bill	under	half	another	access	members	life	month	congratulations	impact	honor	could	place	border	below	even	leadership	come	group	never	better	economic	security	away	goals	covid	veterans	high	sale	senate	top	love	around	club	call	luck	fans	online	small	thanks	long	league	national	hard	forward	tomorrow	give	markets	ceo	sustainability	tech	lives	insights	during	kick	making	technology	lads	safe	chief	administration	spending	very	stop	tax	open	thanksgiving	friday	power	still	always	discuss	hope	data	democracy	meet	face	going	news	got	football	again	hear	days	money	party	ticket	black	jobs	rights	coming	opportunity	november	opportunities	since	ready	colleagues	also	celebrate	care	challenges	public	risk	history	grateful	getting	office	apply	create	lead	stand	ever	million	young	sure	use	app	put	costs	solutions	break	night	joe	starts	looking	until	visit	real	shares	progress	card	food	military	ensure	quarter	store	tune	research	she	clients	weekend	local	think	fighting	innovation	stadium	left	oil	explore	special	story	behind	international	post	partner	friends	won	cost	violence	republicans	government	zero	stay	own	social	leader	pay	does	capital	federal	information	too	republican	secure	listen	net	ends	both	afternoon	each	needs	click	equity	players	doing	save	fixture	ways	strong	important	friend	rates	commitment	sustainable	workers	program	final	number	potential	evening	journey	january	any	build	holiday	strategy	term	transition	done	four	clear	services	helping	policy	infrastructure	excited	side	trip	return	sunday	list	annual	former	yet	friendly	children	details	critical	bipartisan	value	player	bring	said	student	him	line	say	loved	become	trends	session	experience	play	yesterday	set	supporters	deal	continues	white	historic	pandemic	camp	same	comes	underway	based	employees	income	draw	congrats	celebrating	following	past	between	drive	resources	lower	far	starting	record	squad	already	welcome	park	loan	honored	supply	wishing	victory	including	provide	show	took	morning	pass	things	men	increase	campaign	company	taking	lost	low	rising	recent	role	leading	road	means	did	job	education	organizations	career	reduce	conference	everything	joined	school	issues	elections	achieve	less	close	winning	further	grow	political	able	step	general	buy	building	shop	five	winter	remember	generation	changes	gift	few	once
NUFC	0	0	1	0	0	2	0	0	0	1	0	5	0	0	0	0	5	1	4	0	0	0	2	0	0	0	0	0	6	3	0	0	0	3	0	0	0	0	2	2	1	0	0	4	0	0	1	0	0	2	0	0	5	0	0	0	0	0	0	1	1	2	0	1	5	0	1	0	0	0	0	0	3	3	0	0	2	0	1	0	0	0	0	0	0	1	2	0	0	0	3	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	3	0	0	1	2	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	2	0	0	4	2	0	0	0	0	3	3	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	3	0	1	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	3	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	4	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	1	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	1	1	0	2	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0
OfficialBHAFC	1	0	0	2	0	0	0	0	0	5	1	11	0	1	0	1	0	0	2	0	0	0	3	0	0	0	0	0	3	3	0	0	2	1	2	0	0	0	2	1	0	1	0	3	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	6	0	0	0	3	0	0	0	0	2	0	0	3	0	3	3	0	0	0	0	0	3	2	0	5	0	1	3	1	2	3	2	0	0	3	1	0	0	0	0	0	1	2	0	0	1	2	0	0	0	1	1	2	2	0	0	5	6	0	1	0	4	0	0	0	1	3	0	0	2	0	1	1	1	0	0	0	2	1	0	0	0	3	0	0	0	0	1	0	2	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	4	1	2	0	0	3	0	1	0	0	0	0	0	0	1	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	5	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCFC	1	0	0	5	0	0	0	3	0	4	0	7	0	1	0	0	2	1	0	0	0	0	5	0	0	0	5	0	2	0	0	0	3	0	1	0	0	0	3	6	1	0	5	0	1	12	0	2	0	0	5	0	2	0	1	0	0	0	0	5	0	0	0	0	2	1	0	0	0	1	0	0	2	0	0	0	3	0	1	0	0	0	2	2	0	1	2	0	0	0	1	0	2	0	1	2	0	3	1	0	1	5	0	0	0	0	0	0	2	0	3	2	3	0	3	0	1	4	0	0	5	0	0	0	0	1	0	0	0	1	0	3	3	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	5	1	0	4	0	4	2	2	0	1	1	1	1	3	1	0	4	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	1	0	0	1	0	1	5	0	0	0	0	0	0	0	0	4	0	0	3	2	0	0	0	0	0	0	0	0	2	2	0	0	0	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	4	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	1	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	2	0	1	0	0	0	1
CPFC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	0	0	0	0	0	1	0	2	0	13	3	0	0	1	3	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	2	0	0	3	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	1	4	0	8	1	0	0	0	0	0	0	1	0	2	0	2	3	0	0	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	2	2	0	0	0	7	0	0	1	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0	0	2	1	0	0	0	4	0	2	1	2	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0
WestHam	0	0	0	2	0	1	0	0	0	5	1	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	2	2	0	0	0	2	0	1	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	2	0	0	6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	0	0	1	1	5	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	5	0	0	0	0	1	3	0	0	0	0	0	4	0	0	2	0	6	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	3	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0
SpursOfficial	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	1	0	3	0	0	0	1	1	1	0	4	0	10	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	3	0	0	0	0	0	0	0	7	0	0	1	2	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	3	1	0	2	2	1	0	0	1	0	0	0	0	0	3	2	0	1	0	0	1	0	0	2	3	0	0	0	0	2	3	0	0	0	0	0	3	0	0	1	0	0	1	1	1	1	0	11	1	0	0	0	1	6	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	4	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	3	3	0	1	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	1	0	1	0	3	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SouthamptonFC	0	0	0	3	0	0	0	1	1	5	0	6	0	0	0	0	5	6	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	3	0	0	4	0	1	1	1	3	0	3	0	0	0	0	3	0	0	0	1	0	3	0	1	0	0	0	0	0	1	1	3	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	0	0	0	0	0	1	4	1	3	1	0	2	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	3	1	0	0	1	0	3	0	0	4	2	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	2	0	1	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	2	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	1	0	0
LFC	0	0	0	0	0	0	0	1	0	4	0	23	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	0	0	5	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	2	0	1	7	0	0	0	0	0	0	0	1	2	0	0	4	0	0	10	0	0	1	0	0	1	0	0	1	5	1	1	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	1	5	0	0	0	0	0	1	0	0	1	0	5	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	2	1	6	2	0	0	1	0	3	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0	1	0	3	0	0	1	0	0	0	5	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Everton	2	0	0	2	1	1	0	2	0	5	1	30	0	1	0	0	1	0	7	0	0	0	1	0	0	0	0	0	1	2	0	0	2	1	5	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	1	2	9	0	2	1	0	0	0	1	1	1	0	1	2	0	2	0	0	0	0	0	5	0	1	0	0	0	2	0	1	0	0	3	1	1	3	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	0	0	0	0	0	1	4	1	6	2	4	2	2	0	0	1	0	0	4	0	0	0	0	0	0	1	1	1	0	2	2	0	0	0	2	2	0	0	0	5	0	3	1	1	3	0	0	0	0	0	2	0	1	0	0	0	5	0	0	0	0	3	2	0	0	0	1	0	2	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	2	1	3	2	0	0	0	0	0	2	3	0	0	2	1	0	2	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	4	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	4	2	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	3	1	0	1	4	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	2	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1
Arsenal	0	0	0	0	0	9	0	0	0	2	1	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	2	0	5	2	0	0	1	0	2	0	0	0	1	2	0	0	1	16	0	2	0	0	0	4	1	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	2	0	1	0	1	0	0	0	2	1	0	1	0	1	0	0	2	1	0	0	0	2	0	0	7	0	2	6	0	0	1	0	0	0	1	1	0	2	2	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	2	1	0	1	1	1	0	0	2	0	0	0	0	0	1	3	0	0	1	1	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	2	0	1	1	0	2	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	6	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	4	1	0	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	2	1	1	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	3	2	0	0	0	0	1	2	0	0	4	1	0	2	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	1	1	1	0	0	1
NorwichCityFC	1	0	0	11	4	2	0	0	0	9	2	0	0	0	0	3	7	0	4	0	0	2	2	0	4	0	1	0	0	8	0	0	4	0	0	0	0	0	1	5	0	0	1	15	0	9	1	0	0	0	0	0	5	0	0	1	0	0	0	5	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	5	0	0	7	0	0	2	0	0	1	4	0	3	3	9	4	1	0	3	5	0	0	8	0	0	0	0	10	0	0	1	2	0	1	2	0	0	0	2	2	1	0	0	3	1	0	1	15	0	1	0	0	0	0	3	0	12	0	0	0	2	0	0	0	0	7	0	0	0	0	3	0	1	0	1	7	0	5	1	3	0	1	0	1	0	3	2	3	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	3	0	0	4	0	6	0	1	0	0	0	0	0	2	1	2	0	1	2	0	1	3	0	1	1	3	0	0	0	0	4	0	0	0	0	1	2	0	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	2	7	1	0	0	1	1	0	0	0	0	6	0	0	0	0	5	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	2	2	2	0	1	0	0	0	0	2	3	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	5	0	0	0	4	0	0	0	1	0	0	0	0	0	3	1	0	1	0	6	1	0	0	0	0	4	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	2	0	0	6	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0
LaticsOfficial	0	0	0	1	0	3	0	0	0	4	1	0	0	0	0	0	1	0	3	0	0	0	11	0	0	0	1	0	1	6	1	0	7	0	1	0	0	0	4	10	0	0	1	8	1	1	1	2	0	1	0	0	5	0	1	0	0	0	0	2	2	2	0	0	1	0	0	4	0	0	0	0	2	0	0	0	0	100	1	1	1	0	1	4	0	0	3	0	0	0	3	0	2	0	2	1	0	0	1	0	5	6	0	0	2	0	0	3	4	0	2	1	4	1	1	0	0	4	1	0	2	0	0	0	0	3	0	0	3	1	0	12	4	0	0	1	2	7	0	0	0	3	7	2	1	1	1	1	0	0	0	0	3	0	1	0	0	3	1	1	0	0	0	5	2	0	0	1	5	0	0	0	0	7	0	0	3	2	0	1	0	5	0	4	3	1	2	0	0	0	0	0	0	3	0	0	0	11	0	0	0	0	0	0	0	4	0	1	0	0	0	0	8	0	0	1	2	0	1	0	4	0	0	3	0	1	6	0	0	0	1	2	1	0	1	1	0	3	0	0	0	0	0	0	0	2	2	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	1	6	0	1	0	0	2	0	0	0	0	1	2	0	0	0	1	3	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	3	5	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	2	0	3	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	2	1	0	10	1	1	9	1	0	0	2	1	0	0	4	1	0	2	0	0	0	4	1	0	2	0	0	0	0	0	1	2	1	0	0	2	4	1	0	0	5	4	0	0	0	1	3	0	0	0	1	2	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	0	2	0
WBA	0	0	0	1	1	0	0	0	1	3	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	3	0	0	5	0	0	1	0	0	4	1	0	0	3	3	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	3	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	1	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	1	5	0	1	1	0	1	1	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	4	0	0	0	1	2	2	0	0	1	2	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	3	1	0	0	4	0	0	0	0	1	0	0	0	0	8	0	1	0	1	0	0	0	0	0	1	0	2	1	1	0	1	0	0	4	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	2	0	1	0	3	0	0	2	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	1	2	1	3	0	1	1	0	2	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	3	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	2	2	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	4	4	1	0	0	0	3	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	1
